59.882145
0x40102a 0.015603         "[unknown]" 0
0x45e9c5 0.001970         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2305
0x45ea25 0.001962         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2305
0x45f8e8 0.002929         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\collision_map.c" 284
0x460b20 0.015629         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 47
0x460b3f 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 54
0x460c6f 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 83
0x462d63 0.160148         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 24510
0x462d71 0.010739         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 24510
0x463e72 0.002929         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\scene_occluders.c" 354
0x468181 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\blendmap.c" 237
0x468264 0.003904         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\blendmap.c" 189
0x468610 0.015628         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\bootmanifest\bootmanifest.c" 1077
0x46b3db 0.015622         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\bootmanifest\bootmanifest.c" 1315
0x46bc10 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 54
0x46bc13 0.002926         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 54
0x46bd58 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 174
0x46bd9f 0.001952         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 52
0x46bdd8 0.003917         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 181
0x46bdf2 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 184
0x46be12 0.001955         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c" 172
