rsprot packet-codec generation status
revisions 221-239; 215 packets emitted, 3 refused

--- emitted (prot, file, dir, layouts, revisions covered) ---
  OK   UPDATE_ZONE_PARTIAL_ENCLOSED     update_zone_partial_enclosed.c out  14 layout(s) 15 rev(s)
  OK   UPDATE_ZONE_PARTIAL_FOLLOWS      update_zone_partial_follows.c out  19 layout(s) 19 rev(s)
  OK   URL_OPEN                         url_open.c out   1 layout(s)  5 rev(s)
  OK   VARCLAN_DISABLE                  varclan_disable.c out   1 layout(s) 19 rev(s)
  OK   VARCLAN_ENABLE                   varclan_enable.c out   1 layout(s) 19 rev(s)
  OK   VARP_LARGE                       varp_large.c out  14 layout(s) 19 rev(s)
  OK   VARP_RESET                       varp_reset.c out   1 layout(s) 19 rev(s)
  OK   VARP_SMALL                       varp_small.c out  14 layout(s) 19 rev(s)
  OK   VARP_SYNC                        varp_sync.c out   1 layout(s) 19 rev(s)
  OK   WINDOW_STATUS                    window_status.c in    1 layout(s) 19 rev(s)
  OK   ZBUF                             zbuf.c out   1 layout(s)  4 rev(s)

--- refused (class, dir, reason) ---
  SKIP CamMoveToArc                                     out  no ledger rows -- rerun rsprot_version_ledger.py
  SKIP IfOpenTopEncoder                                 out  hand-written -- see HAND_WRITTEN_PROTS
  SKIP RunClientScriptEncoder                           out  hand-written -- see HAND_WRITTEN_PROTS

--- per-file parse skips ---
  rev221 in   buttons/If3ButtonDecoder.kt                                  unresolved identifier: op
  rev221 in   clan/AffinedClanSettingsSetMutedFromChannelDecoder.kt        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   events/EventAppletFocusDecoder.kt                            g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   events/EventKeyboardDecoder.kt                               unmodeled call: readableBytes(...)
  rev221 in   events/EventMouseMoveDecoder.kt                              buffer expression not understood: while (buffer.isReadable) {
            var packed = buffer.
  rev221 in   friendchat/FriendChatJoinLeaveDecoder.kt                     unparseable val name: unexpected token None
  rev221 in   locs/OpLoc1Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   locs/OpLoc2Decoder.kt                                        g1Alt3 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   locs/OpLoc3Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   locs/OpLoc4Decoder.kt                                        g1Alt1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   locs/OpLoc5Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   locs/OpLocTDecoder.kt                                        g1Alt1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   messaging/MessagePrivateDecoder.kt                           unmodeled call: provide(...)
  rev221 in   messaging/MessagePublicDecoder.kt                            unparseable val patternArray: unexpected token None
  rev221 in   misc/client/ReflectionCheckReplyDecoder.kt                   unrecognized buffer call: buffer.buffer.readerIndex(buffer.buffer.writerIndex())
  rev221 in   misc/user/ClickWorldMapDecoder.kt                            unmodeled call: CoordGrid(...)
  rev221 in   misc/user/SendSnapshotDecoder.kt                             g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   misc/user/UpdatePlayerModelDecoder.kt                        buffer expression not understood: identKit[i] = buffer.g1().toByte()
  rev221 in   npcs/OpNpc1Decoder.kt                                        g1Alt3 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   npcs/OpNpc2Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   npcs/OpNpc3Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   npcs/OpNpc4Decoder.kt                                        g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   npcs/OpNpc5Decoder.kt                                        g1Alt1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   npcs/OpNpcTDecoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   objs/OpObj1Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   objs/OpObj2Decoder.kt                                        g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   objs/OpObj3Decoder.kt                                        g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   objs/OpObj4Decoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   objs/OpObj5Decoder.kt                                        g1Alt1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   objs/OpObjTDecoder.kt                                        g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer1Decoder.kt                                  g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer2Decoder.kt                                  g1Alt3 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer3Decoder.kt                                  g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer4Decoder.kt                                  g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer5Decoder.kt                                  g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer6Decoder.kt                                  g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer7Decoder.kt                                  g1Alt2 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayer8Decoder.kt                                  g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 in   players/OpPlayerTDecoder.kt                                  g1 compared to 1 on read: the encode direction cannot reconstruct the original value from a bool
  rev221 out  camera/CamMoveToEasedCircularEncoder.kt                      pboolean writes a computed expression `(!m->maintain_fixed_altitude)`, which has no field to decode back into
