# round-trip: 9615/9725 decompiled, 9610 compiled, 9161 same-length, 8540 exact
script_id	stage	detail
7652	diff	same length, different bytes
7653	diff	same length, different bytes
7691	diff	same length, different bytes
7692	diff	same length, different bytes
7693	diff	290 bytes vs 284
7695	diff	same length, different bytes
7698	diff	587 bytes vs 581
7705	diff	530 bytes vs 524
7709	diff	same length, different bytes
7710	diff	1014 bytes vs 1005
7716	diff	same length, different bytes
7736	diff	same length, different bytes
7754	diff	642 bytes vs 645
7774	diff	295 bytes vs 289
7777	decompile	script 7777 pc 35: opcode 2311 was given an argument of the wrong stack type
7781	diff	same length, different bytes
7794	diff	same length, different bytes
7795	diff	same length, different bytes
7796	diff	same length, different bytes
7800	diff	same length, different bytes
7823	diff	same length, different bytes
7824	diff	same length, different bytes
7834	diff	same length, different bytes
7856	diff	same length, different bytes
7863	diff	221 bytes vs 206
7866	diff	1323 bytes vs 1308
7867	diff	same length, different bytes
7869	diff	same length, different bytes
7889	diff	same length, different bytes
7890	diff	same length, different bytes
7898	decompile	script 7898 pc 19: opcode 2929 underflowed the operand stack
7925	diff	same length, different bytes
7934	diff	same length, different bytes
7935	diff	same length, different bytes
7936	diff	same length, different bytes
7937	diff	same length, different bytes
7953	diff	same length, different bytes
7958	diff	same length, different bytes
7967	decompile	script 7967 pc 26: return leaves 3 values, the script declares 0
7969	decompile	script 7969 pc 38: return leaves 3 values, the script declares 0
7983	diff	same length, different bytes
7985	diff	same length, different bytes
8025	diff	298 bytes vs 292
8026	diff	219 bytes vs 213
8027	diff	219 bytes vs 213
8028	diff	219 bytes vs 213
8029	diff	219 bytes vs 213
8030	diff	219 bytes vs 213
8031	diff	219 bytes vs 213
8032	diff	219 bytes vs 213
8033	diff	219 bytes vs 213
8034	diff	316 bytes vs 307
8043	diff	same length, different bytes
8046	diff	265 bytes vs 259
8047	diff	265 bytes vs 259
8051	diff	same length, different bytes
8052	diff	same length, different bytes
8053	diff	same length, different bytes
8054	diff	same length, different bytes
8055	diff	same length, different bytes
8057	diff	264 bytes vs 270
8062	diff	1171 bytes vs 1162
8075	diff	239 bytes vs 236
8078	diff	same length, different bytes
8091	diff	493 bytes vs 487
8117	decompile	script 8117 pc 36: opcode 36 underflowed the operand stack
8118	decompile	script 8118 pc 18: opcode 36 underflowed the operand stack
8120	decompile	script 8120 pc 94: return leaves 3 values, the script declares 0
8124	diff	4870 bytes vs 4867
8127	decompile	script 8127 pc 8: return leaves 2 values, the script declares 0
8132	decompile	script 8132 pc 16: opcode 8 underflowed the operand stack
8135	decompile	script 8135 pc 306: opcode 36 underflowed the operand stack
8140	decompile	script 8140 pc 3: opcode 36 underflowed the operand stack
8141	diff	200 bytes vs 194
8145	diff	same length, different bytes
8149	decompile	script 8149 pc 691: gosub to 8151 passes an argument of the wrong stack type
8159	decompile	script 8159 pc 19: opcode 2929 underflowed the operand stack
8161	diff	same length, different bytes
8162	diff	same length, different bytes
8163	diff	same length, different bytes
8164	diff	same length, different bytes
8173	diff	1631 bytes vs 1622
8183	diff	same length, different bytes
8203	diff	1590 bytes vs 1596
8204	diff	977 bytes vs 983
8206	diff	323 bytes vs 329
8207	diff	194 bytes vs 200
8208	diff	641 bytes vs 647
8210	diff	245 bytes vs 251
8211	diff	608 bytes vs 614
8214	diff	same length, different bytes
8215	diff	same length, different bytes
8216	diff	same length, different bytes
8225	diff	258 bytes vs 252
8227	diff	346 bytes vs 340
8236	decompile	script 8236 pc 40: opcode 1927 underflowed the operand stack
8243	diff	same length, different bytes
8244	decompile	script 8244 pc 237: opcode 36 underflowed the operand stack
8245	decompile	script 8245 pc 39: return leaves 1 values, the script declares 0
8246	decompile	script 8246 pc 169: opcode 36 underflowed the operand stack
8247	diff	same length, different bytes
8255	diff	same length, different bytes
8263	diff	188 bytes vs 182
8264	diff	188 bytes vs 182
8265	diff	93 bytes vs 87
8266	diff	161 bytes vs 155
8267	diff	171 bytes vs 165
8268	decompile	script 8268 pc 57: return leaves 1 values, the script declares 0
8271	decompile	script 8271 pc 3: opcode 36 underflowed the operand stack
8272	decompile	script 8272 pc 3: opcode 36 underflowed the operand stack
8276	diff	351 bytes vs 345
8277	diff	same length, different bytes
8280	diff	3233 bytes vs 3218
8281	diff	same length, different bytes
8282	diff	256 bytes vs 250
8284	diff	same length, different bytes
8290	diff	474 bytes vs 468
8291	diff	169 bytes vs 163
8292	diff	same length, different bytes
8293	diff	same length, different bytes
8296	diff	same length, different bytes
8297	diff	same length, different bytes
8298	diff	same length, different bytes
8305	diff	same length, different bytes
8306	diff	same length, different bytes
8307	diff	same length, different bytes
8308	diff	same length, different bytes
8309	diff	same length, different bytes
8316	diff	23 bytes vs 26
8322	diff	same length, different bytes
8323	diff	same length, different bytes
8325	decompile	script 8325 pc 225: opcode 1409 expected a string on the operand stack
8327	decompile	script 8327 pc 55: opcode 8 left 2 values on the operand stack
8328	diff	same length, different bytes
8340	decompile	script 8340 pc 54: opcode 2929 underflowed the operand stack
8341	decompile	script 8341 pc 8: opcode 2929 underflowed the operand stack
8342	decompile	script 8342 pc 69: opcode 4103 was given an argument of the wrong stack type
8343	diff	same length, different bytes
8344	decompile	script 8344 pc 67: gosub to 8345 passes an argument of the wrong stack type
8350	diff	same length, different bytes
8351	decompile	script 8351 pc 88: gosub to 8353 passes an argument of the wrong stack type
8354	diff	same length, different bytes
8356	diff	same length, different bytes
8361	diff	same length, different bytes
8364	diff	same length, different bytes
8366	diff	same length, different bytes
8367	diff	same length, different bytes
8369	diff	23 bytes vs 26
8384	diff	23 bytes vs 26
8386	diff	same length, different bytes
8387	diff	same length, different bytes
8389	decompile	script 8389 pc 19: return leaves 1 values, the script declares 0
8392	diff	884 bytes vs 875
8402	diff	same length, different bytes
8404	diff	same length, different bytes
8405	diff	same length, different bytes
8406	decompile	script 8406 pc 6: opcode 36 underflowed the operand stack
8410	decompile	script 8410 pc 30: opcode 6 left 1 values on the operand stack
8411	decompile	script 8411 pc 33: opcode 6 left 2 values on the operand stack
8412	diff	same length, different bytes
8413	diff	same length, different bytes
8417	diff	same length, different bytes
8418	diff	same length, different bytes
8423	diff	same length, different bytes
8424	decompile	script 8424 pc 6: opcode 36 underflowed the operand stack
8425	diff	same length, different bytes
8426	decompile	script 8426 pc 31: opcode 6 left 2 values on the operand stack
8427	diff	same length, different bytes
8429	diff	same length, different bytes
8430	diff	same length, different bytes
