source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,669,0.040974,0.068478
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,671,0.040973,0.068476
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,138,0.040159,0.067116
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,468,0.040040,0.066917
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c,71,0.039099,0.065344
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,393,0.039098,0.065343
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,599,0.039085,0.065321
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters.c,412,0.039069,0.065294
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,203,0.039065,0.065287
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1124,0.039064,0.065286
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,56,0.039053,0.065267
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,301,0.039051,0.065264
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,38,0.039048,0.065259
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11914,0.039028,0.065226
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,690,0.039024,0.065219
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,351,0.038105,0.063683
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,137,0.037161,0.062105
