source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,225,0.039087,0.065200
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,947,0.039084,0.065195
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_sprite.c,492,0.039065,0.065163
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1017,0.039060,0.065155
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c,4627,0.039055,0.065146
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,11481,0.039047,0.065133
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c,66,0.038081,0.063522
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,995,0.037114,0.061908
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,1027,0.037109,0.061900
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\miniz\miniz.c,2648,0.037108,0.061898
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,416,0.037097,0.061880
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,557,0.036101,0.060219
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,549,0.035162,0.058652
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1140,0.035161,0.058651
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1361,0.035153,0.058637
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,669,0.035148,0.058629
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,477,0.035146,0.058626
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,824,0.035141,0.058617
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,531,0.035137,0.058611
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,347,0.035124,0.058589
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,111,0.033216,0.055406
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_from_component.c,244,0.033214,0.055403
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\checksum.c,110,0.033205,0.055388
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,322,0.033204,0.055386
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1642,0.033200,0.055380
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\triangles\toridraw_triangle_gouraud.u.c,1129,0.033185,0.055355
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\flat\flat.screen.opaque.branching.s4.c,286,0.032228,0.053758
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,794,0.032227,0.053757
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,645,0.032226,0.053755
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1764,0.032218,0.053742
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11907,0.032212,0.053732
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\dat2\dat2_group_cache.c,245,0.032205,0.053720
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,463,0.031406,0.052387
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\rscache\src\reference_table.c,138,0.031293,0.052199
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,345,0.031251,0.052129
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_font.c,843,0.031248,0.052124
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1073,0.031247,0.052122
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\miniz\miniz.c,2616,0.031245,0.052119
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,668,0.031222,0.052080
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,240,0.030289,0.050524
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,19474,0.030269,0.050491
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,11914,0.030233,0.050431
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_scene.c,1304,0.029342,0.048944
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,317,0.029303,0.048879
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,380,0.029303,0.048879
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1043,0.029301,0.048876
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1263,0.029300,0.048874
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,387,0.029300,0.048874
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\game\rs_cs2_host.c,8603,0.029292,0.048861
